MARCA_ITV,MODELO_ITV,KW_ITV,CATEGORIA_HOMOLOGACION_EUROPEA_ITV,COUNT
"BMW","CE 02","6.00","L3e",1
"BMW","CE 04","15.00","L3e",1
"EFUN","LION","11.00","L3e",6
"EFUN","TIGER 100","7.10","L3e",1
"HONDA","EVF9018","18.00","L3e",2
"HONDA","EVP4","4.20","L3e",1
"NIU","FQI 500","6.40","L3e",3
"NIU","NQIX 500","9.00","L3e",3
"PIAGGIO","PIAGGIO 1","2.00","L3e",2
"SEGWAY","--","7.80","L3e",2
"SILENCE","S02","4.00","L3e",1
"SILENCE","S02","7.00","L3e",1
"STARK","VARG","9.00","L3e",1
"VELCA","EON","11.00","L3e",1
"YADEA","Y1S PRO","3.60","L3e",1
"ZERO MOTORCYCLES","LS1","6.00","L3e",1
