MARCA_ITV,COUNT
"ARENA",9
"ASKOLL",1
"BMW",76
"CECOTEC",38
"DIMEN",3
"DIMENTRO",2
"E RIDE PRO",10
"E-BROH",13
"E-ZI",1
"EFUN",276
"EUROCKA",1
"FANTIC MOTOR",2
"FAURO",1
"FELQ",15
"FRISON",1
"HONDA",32
"HONGFANWX",2
"HORWIN",11
"IONIK",3
"JNEN",3
"KAINING",2
"KAWASAKI",2
"LIFAN",9
"LIVEWIRE",2
"LVNENG",1
"MONNIER",2
"NEXT",69
"NEXTELECTRICMOTORS",17
"NIU",112
"NUUK",1
"NWOW",4
"OTTOBIKE",6
"OXWIN",17
"PIAGGIO",32
"PURSANG",1
"QUAZZAR",8
"RAY ELECTRIC MOTORS",11
"RIEJU",5
"RODEA",11
"SAKURA",2
"SEGWAY",79
"SILENCE",1160
"STARK",214
"SUNRA",2
"SUPER SOCO",74
"SURRON",11
"TINBOT",1
"TROMOX",3
"TYE",2
"UGBEST",2
"ULTRAVIOLETTE AUTOMOTIVE PRIVA",30
"URBAN ELECTRIC MOTORS",23
"VELCA",289
"VELIMOTOR",1
"VERGE",1
"VMOTO",76
"WAYSCRAL",1
"WUBEN",1
"YADEA",6
"YASAN MOTOR",1
"ZEEHO",1
"ZERO MOTORCYCLES",81
"ZXMCO",2
