MARCA_ITV,COUNT
"APRILIA",30
"BENELLI",12
"BETA",85
"BMW",530
"BRIXTON",8
"CF MOTO",2
"DAELIM",93
"DERBI",9
"DUCATI",114
"GAS-GAS",66
"GENERIC",3
"GILERA",2
"GOES",2
"HANWAY",52
"HARLEY DAVIDSON",130
"HM",16
"HONDA",1363
"HUDSON BOSS",1
"HUSQVARNA",111
"HYOSUNG",22
"INDIAN MOTORCYCLE",8
"JONWAY",22
"KAWASAKI",428
"KEEWAY",101
"KENROD",1
"KSR MOTO",3
"KTM",205
"KYMCO",587
"LIFAN",5
"LINTEX",6
"LML",8
"MASH",34
"MH MOTORCYCLES",16
"MONKEY BIKES",9
"MONTESA",42
"MOTO GUZZI",21
"MV AGUSTA",10
"MX",4
"ORCAL",1
"PEUGEOT",121
"PIAGGIO",492
"RIDE",41
"RIEJU",48
"RIYA",28
"ROYAL ENFIELD",34
"S.Y.M",373
"SANYOU",16
"SCOMADI",16
"SHERCO",40
"SKY TEAM",11
"SUMCO",2
"SUZUKI",227
"SWM",1
"TGB",6
"TRIUMPH",172
"TRS",2
"VERTIGO MOTORS",1
"VICTORY MOTOR DIVISION",1
"VICTORY MOTORCYCLES DIV",3
"WOTTAN",31
"YAMAHA",968
"YIYING",7
"ZHENUA",1
"ZNEN",2
